2015-11-18 09:59:24,234 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2015-11-18 09:59:24,239 [      5]   INFO -        #com.intellij.idea.Main - IDE: Android Studio (build #AI-141.2422023, 12 Nov 2015 00:00) 
2015-11-18 09:59:24,239 [      5]   INFO -        #com.intellij.idea.Main - OS: Linux (4.2.0-18-generic, amd64) 
2015-11-18 09:59:24,239 [      5]   INFO -        #com.intellij.idea.Main - JRE: 1.7.0_80-b15 (Oracle Corporation) 
2015-11-18 09:59:24,239 [      5]   INFO -        #com.intellij.idea.Main - JVM: 24.80-b11 (Java HotSpot(TM) 64-Bit Server VM) 
2015-11-18 09:59:24,240 [      6]   INFO -        #com.intellij.idea.Main - JVM Args: -Xbootclasspath/a:/opt/android-studio/bin/../lib/boot.jar -Xms256m -Xmx1280m -XX:MaxPermSize=350m -XX:ReservedCodeCacheSize=225m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -da -Djna.nosys=true -Djna.boot.library.path= -Djna.debug_load=true -Djna.debug_load.jna=true -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Dawt.useSystemAAFontSettings=lcd -Djb.vmOptionsFile=/opt/android-studio/bin/studio64.vmoptions -XX:ErrorFile=/home/nhaarman/java_error_in_STUDIO_%p.log -Djb.restart.code=88 -Didea.paths.selector=AndroidStudio1.5 -Didea.platform.prefix=AndroidStudio 
2015-11-18 09:59:24,263 [     29]   INFO -        #com.intellij.idea.Main - JNA library loaded (64-bit) in 23 ms 
2015-11-18 09:59:24,490 [    256]   INFO - .intellij.idea.IdeaApplication - WM detected: Compiz 
2015-11-18 09:59:25,277 [   1043]   INFO - llij.ide.plugins.PluginManager - 30 plugins initialized in 581 ms 
2015-11-18 09:59:25,277 [   1043]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Android NDK Support (1.0), Android Support (10.1.5), CVS Integration (11), Copyright (8.1), Coverage, EditorConfig (1.0), Git Integration (8.1), GitHub, Google Analytics Uploader (1.0), Google App Indexing (0.1), Google Cloud Testing (1.0), Google Cloud Tools Core (0.2.8), Google Cloud Tools For Android Studio (0.2.8), Google Login (1.0), Google Services (0.1), Gradle, Groovy (9.0), I18n for Java, IDEA CORE, IntelliLang (8.0), JUnit (1.0), Java Bytecode Decompiler (0.1), Maven Integration, Properties Support, SDK Updater (1.0), Subversion Integration (1.1), Task Management (1.0), Terminal (0.1), TestNG-J (8.0), hg4idea (10.0) 
2015-11-18 09:59:25,662 [   1428]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted 
2015-11-18 09:59:25,664 [   1430]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=200; buffer=10; max=1276510208 
2015-11-18 09:59:25,686 [   1452]   INFO - api.vfs.impl.local.FileWatcher - Starting file watcher: /opt/android-studio/bin/fsnotifier64 
2015-11-18 09:59:25,694 [   1460]   INFO - api.vfs.impl.local.FileWatcher - Native file watcher is operational. 
2015-11-18 09:59:25,943 [   1709]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 5), rebuilding... 
2015-11-18 09:59:25,943 [   1709]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2015-11-18 09:59:26,289 [   2055]   INFO - lij.diagnostic.DebugLogManager - Set DEBUG for the following categories: [] 
2015-11-18 09:59:26,692 [   2458]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2015-11-18 09:59:27,233 [   2999]   INFO -                  TestNG Runner - Create TestNG Template Configuration 
2015-11-18 09:59:27,296 [   3062]   INFO - ellij.project.impl.ProjectImpl - 22 project components initialized in 300 ms 
2015-11-18 09:59:27,297 [   3063]   INFO - le.impl.ModuleManagerComponent - 0 module(s) loaded in 0 ms 
2015-11-18 09:59:28,880 [   4646]   INFO - pl.stores.ApplicationStoreImpl - 88 application components initialized in 3584 ms 
2015-11-18 09:59:28,882 [   4648]   INFO - .intellij.idea.IdeaApplication - App initialization took 12442 ms 
